latitude,longitude,month,year,predicted_individuals
13.5,22.45,1,2013,12635.152
13.5,22.45,2,2013,10787.044
13.5,22.45,3,2013,9634.006
13.5,22.45,4,2013,9250.955
13.5,22.45,5,2013,8457.806
13.5,22.45,6,2013,7785.693
13.363172,25.767323,7,2011,44329.81
13.363172,25.767323,8,2011,14411.52
13.363172,25.767323,9,2011,24741.965
13.363172,25.767323,10,2011,42931.44
13.363172,25.767323,11,2011,43968.492
13.363172,25.767323,12,2011,60076.51
13.363172,25.767323,1,2012,18816.895
13.363172,25.767323,2,2012,13387.4
13.363172,25.767323,3,2012,46920.12
13.363172,25.767323,4,2012,12322.273
13.363172,25.767323,5,2012,12360.503
13.363172,25.767323,6,2012,42440.465
13.363172,25.767323,7,2012,11437.002
13.363172,25.767323,8,2012,16344.764
13.363172,25.767323,9,2012,42750.53
13.363172,25.767323,10,2012,16724.176
13.363172,25.767323,11,2012,34112.797
13.363172,25.767323,12,2012,42499.79
13.363172,25.767323,1,2013,10047.335
13.363172,25.767323,2,2013,11199.091
13.363172,25.767323,3,2013,28133.502
13.363172,25.767323,4,2013,8795.676
13.363172,25.767323,5,2013,9319.448
13.363172,25.767323,6,2013,17247.584
12.99,32.58,10,2011,19309.846
12.99,32.58,11,2011,41899.414
12.99,32.58,12,2011,53937.95
12.99,32.58,1,2012,8818.119
12.99,32.58,2,2012,5452.819
12.99,32.58,3,2012,18372.219
12.99,32.58,4,2012,12529.932
12.99,32.58,5,2012,10253.477
12.99,32.58,6,2012,15146.127
12.99,32.58,7,2012,16932.111
12.99,32.58,8,2012,18251.732
12.99,32.58,9,2012,24737.746
12.99,32.58,10,2012,36323.348
12.99,32.58,11,2012,54893.1
12.99,32.58,12,2012,62938.723
12.99,32.58,1,2013,7311.512
12.99,32.58,2,2013,3571.7534
12.99,32.58,3,2013,13889.739
12.99,32.58,4,2013,9341.394
12.99,32.58,5,2013,7905.8086
12.99,32.58,6,2013,10713.741
12.99,32.58,7,2013,11303.241
12.99,32.58,8,2013,12071.702
12.99,32.58,9,2013,14779.761
15.75,32.45,12,2016,2723.2922
15.75,32.45,1,2017,459.1633
15.75,32.45,2,2017,307.4338
15.75,32.45,3,2017,457.2214
15.75,32.45,4,2017,363.17062
15.75,32.45,5,2017,408.28146
